index,ID_Two,Address,City,Latitude,Longitude,Price,Restaurant,Pizza_Type
40,AVwdK3hX_7pvs4fz2-s0,1477 York Ave,New York,40.770825,-73.95102,40.0,Salvos Pizzabar,16ampquot Chicken Parm Pizza
41,AVwcjjQ4kufWRAb5weHv,9600 San Jose Blvd,Jacksonville,30.204576,-81.785252,25.0,Little Caesars Pizza,Large 3 Topping Pizza
42,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Methi Mutter Malai Pizza
43,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Spicy Veg Pizza
44,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Gobi Munchurian Pizza
45,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Roasted Garlic Pizza
46,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Hari Mirch Pineapple Pizza
47,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Aaloo Gobi Pizza
48,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Margherita Pizza
49,AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,Canton,42.322403,-83.488782,25.0,Curry on Crust,Achari Veg Pizza
50,AVwcsjkFIN2L1WUfn4dB,1253 Jacklin Rd,Milpitas,37.4478,-121.8878,25.0,Pizza Box,Cheese Pizza
51,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,All Meat Stuffed Pizza Slice
52,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,Hawaiian Pizza
53,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,4Cheese Pizza
54,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,Gluten Free Cheese Pizza
55,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,Vegetable Stuffed Pizza Pie
56,AVwd3vBcIN2L1WUfz8Kd,786 Main St,Poughkeepsie,41.696049,-73.901679,25.0,Tonys Pizza Pit,Cheese Pizza Slice
57,AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,Arlington,32.707464,-97.085036,40.0,Italy Pizza Pasta Subs,Cheese Pizza
58,AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,Arlington,32.707464,-97.085036,40.0,Italy Pizza Pasta Subs,Supreme Pizza
59,AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,Arlington,32.707464,-97.085036,40.0,Italy Pizza Pasta Subs,Pizza Topping
60,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Pizza Sub Deluxe
61,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Veggie Pizza
62,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Howie Special Pizza
63,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Bacon Cheddar Cheeseburger Pizza
64,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Thin Crust Cheese Pizza
65,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Howie Maui Pizza
66,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Cheese Pizza
67,AVweM6RuIN2L1WUf24PG,150 N Pantano Rd,Tucson,32.223015000000004,-110.82291299999999,40.0,Hungry Howies Pizza,Pizza Sub
68,AWESAELwa4HuVbedMwTP,1250 Gen. Washington Blvd.,Washington Crossing,40.292365000000004,-74.872428,25.0,Dominicks Pizzeria Italian Restaurant,Nick's Specialty Pizza
69,AWESAELwa4HuVbedMwTP,1250 Gen. Washington Blvd.,Washington Crossing,40.292365000000004,-74.872428,25.0,Dominicks Pizzeria Italian Restaurant,Buffalo Wing Pizza
70,AVwdUCT-_7pvs4fz4j3w,3860 N Long Lake Rd,Traverse City,44.757113000000004,-85.652529,25.0,Thats a Pizza,Sauce and Cheese Pizza
71,AVwdUCT-_7pvs4fz4j3w,3860 N Long Lake Rd,Traverse City,44.757113000000004,-85.652529,25.0,Thats a Pizza,Sauce and Cheese Pizza
72,AV1h2sbCa4HuVbed7cM1,1612 Franklin St,Michigan City,41.707275,-86.896541,25.0,Albanos Villa,Taco Pizza
73,AV1h2sbCa4HuVbed7cM1,1612 Franklin St,Michigan City,41.707275,-86.896541,25.0,Albanos Villa,Pizza Sauce
74,AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,Warminster,40.213458,-75.070133,40.0,Tonys Place Bar and Grille,Gluten Free Tomato Pie Or Cheese Pizza
75,AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,Warminster,40.213458,-75.070133,40.0,Tonys Place Bar and Grille,Tony's Cheese Pizza
76,AVzBAZ_fLD2H7whiWJVU,1237 Greeley Ave,Warminster,40.213458,-75.070133,40.0,Tonys Place Bar and Grille,Kids Cheese Pizza
77,AVwcu-Fk_7pvs4fzyYOQ,121 E Seneca St,Sherrill,43.076696000000005,-75.597597,25.0,Sherrill New York Pizzeria,Pizza Rolls
78,AVwdE0JU_7pvs4fz2AYn,1321 E Colorado St,Glendale,34.142767,-118.236607,25.0,Pizza Boy,Supreme Pizza
79,AVweELF0ByjofQCxu91y,550 Grant St,Denver,39.725069,-104.983255,25.0,Cosmos Pizza,Plain Pizza 24''
80,AVweELF0ByjofQCxu91y,550 Grant St,Denver,39.725069,-104.983255,25.0,Cosmos Pizza,Plain Pizza 16''
81,AVwdzigvIN2L1WUfzXzz,22 Newbridge Rd,Hicksville,40.767099,-73.527878,25.0,Piazza Pizza,Pizza Slice
82,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Cheese Pizza
83,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Cheese Pizza
84,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Pizza Sub
85,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Cheese Pizza
86,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Taco Pizza
87,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Pizza Logs
88,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Cheese Pizza & 1 Topping
89,AVwd95bD_7pvs4fz-2aw,3348 Genesee St,Buffalo,42.925755,-78.761238,25.0,Macys Place Pizzeria,Small Cheese & 1 Topping Pizza
90,AVwdumb4_7pvs4fz8t54,8110 W Union Hills Dr,Glendale,33.65357,-112.233595,25.0,Arizona Pizza Company,White Seafood Pizza
91,AVwdumb4_7pvs4fz8t54,8110 W Union Hills Dr,Glendale,33.65357,-112.233595,25.0,Arizona Pizza Company,Jackie Earl's Cheese Pizza
92,AVwczgYSkufWRAb5zNBx,90 S Main St,Johnstown,40.152074,-82.68329,30.0,Pizzaburg,Pizza Sub
93,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,Cheese Pizza
94,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,White Pizza
95,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,Specialty Pizzas
96,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,"18"" Cheese Pizza"
97,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,Cheese Pizza
98,AVwdCZyb_7pvs4fz1mSG,2345 E Centennial Pkwy,North Las Vegas,36.274975,-115.11845,25.0,DeLucias Pizzeria,Pizza Freenzy
99,AV1teilCRxPSIh2RbNhZ,1260 Texas Ave Ste H,Alexandria,31.288586,-92.47294000000001,25.0,Wildwood Pizza,Kids Cheese Pizza
100,AVwdPnuP_7pvs4fz3zoB,8977 N Scottsdale Rd,Paradise Valley,33.566876,-111.92536100000001,40.0,Pomo,Pizza Chef
101,AVweUktQByjofQCxxMCG,1608 W Friendly Ave,Greensboro,36.075201,-79.814066,40.0,Hungry Howies Pizza,Pizza Sub
102,AVweUktQByjofQCxxMCG,1608 W Friendly Ave,Greensboro,36.075201,-79.814066,40.0,Hungry Howies Pizza,Meat Eater Pizza
103,AVwcvcBy_7pvs4fzyddm,8381 Market St,Youngstown,40.996342999999996,-80.66232,25.0,Bruno Bros Pizza,Make Any Pizza a Supreme with 5 Toppings
104,AVwcvcBy_7pvs4fzyddm,8381 Market St,Youngstown,40.996342999999996,-80.66232,25.0,Bruno Bros Pizza,Make Any Pizza A Supreme With 5 Toppings
105,AVwclh80ByjofQCxf7tx,9135 W Sam Houston Pkwy N,Houston,29.904365999999996,-95.55494399999999,25.0,Milanos Pizzeria Italian Grill,Kid's Pizza
